conversation_id_str;created_at;full_text;category;jenis_program
1,75221E+18;Tue May 14 02:17:17 +0000 2024;Ganjar-Mahfud punya solusi buat keluarga miskin Program 1 Keluarga Miskin 1 Sarjana bikin harapan untuk putus rantai kemiskinan. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @tweet_ariasriy #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/KH5aLPVOBc;1.0;Program Keluarga Harapan (PKH)
1,77536E+18;Mon May 13 11:12:36 +0000 2024;Babinsa Koramil 1604-04/Amarasi Serka Guliat Sae melakukan kegiatan Komunikasi Sosial (Komsos) dengan Camat Amarasi Timur Nikolas Funan SH beserta staf dalam rangka membahas pembagian Dana Program Keluarga Harapan (PKH) kepada masyarakat Kecamatan Amarasi Kabupaten Kupang. https://t.co/gNZTcGiFBn;1.0;Program Keluarga Harapan (PKH)
1,75411E+18;Mon May 13 11:07:17 +0000 2024;Jaga Situasi Tetap Kondusif Pawas Ipda I Ketut Wira pimpin pengamanan dan pemantauan penyaluran Bansos MRP (Mitigasi Rawan Pangan) dan Bantuan PKH (Program Keluarga Harapan) kepada warga masyarakat yang kurang mampu di kecamatan Bangli di kantor Pos Bangli Jumat (23/02/2024) https://t.co/QW5uuyCQtN;1.0;Program Keluarga Harapan (PKH)
1,76346E+18;Mon May 13 09:50:26 +0000 2024;Dengan keberhasilan program 1 keluarga miskin 1 sarjana Ganjar - Mahfud memberikan harapan baru untuk rakyat Papua @sehat_adi #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/PT1UukPW5D;1.0;Program Keluarga Harapan (PKH)
1,75418E+18;Mon May 13 04:19:04 +0000 2024;Melalui program ini Ganjar-Mahfud memberikan harapan baru bagi keluarga miskin untuk mengubah nasib mereka melalui pendidikan. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @kokgimanaaagitu #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/joY3Wh2BA2;1.0;Program Keluarga Harapan (PKH)
1,77896E+18;Sun May 12 23:36:32 +0000 2024;Babinsa Koramil 1406-08/Sabbangparu Mendampingi Pembagian Bantuan PKH di Desa Pasaka Serka Heppy dari Babinsa Koramil 1406-08/Sabbangparu turut serta dalam pendampingan pembagian Bantuan Program Keluarga Harapan (PKH) di Desa Pasaka Kecamatan Sabbangparu Kabupaten Wajo. https://t.co/NBluSQrrEk;1.0;Program Keluarga Harapan (PKH)
1,75591E+18;Sat May 11 22:19:11 +0000 2024;Program ibu sehat anak sehat ini menciptakan harapan baru bagi setiap keluarga Indonesia Semoga langkah ini menginspirasi daerah lain. Ganjar Pranowo hanya yang terbaik untuk rakyat @starsky02_ #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/N3ZlyZTs5v;1.0;Program Keluarga Harapan (PKH)
1,75441E+18;Sat May 11 07:37:09 +0000 2024;Patroli dialogis Kanit Binmas Ipda Muklis bersama Bhabinkamtibmas Kel Duren tiga Aiptu Dadang monitoring pembagian beras Program Keluarga Harapan di Kel Duren tiga untuk menciptakan situasi yg aman dan kondusif. https://t.co/DxfjZlMNdH;1.0;Program Keluarga Harapan (PKH)
1,75415E+18;Thu May 09 15:35:44 +0000 2024;#PASURUANINFO Kawanan begal terus meneror pengguna jalanan. Pelaku pun tidak tebang pilih korbannya. Di Kabupaten Pasuruan motor milik warga penerima bantuan Program Keluarga Harapan (PKH) pun dibegal. Selengkapnyaâ¬‡ï¸â¬‡ï¸â¬‡ï¸ https://t.co/0OAyEZzoc3 https://t.co/KC86salUus;0.0;Program Keluarga Harapan (PKH)
1,76989E+18;Thu May 09 13:35:06 +0000 2024;Program 1 Keluarga Miskin 1 Sarjana dari Ganjar Pranowo pr3siden Rakyatt memberikan harapan baru bagi keluarga kurang mampu . Tiga Kali Lebih Sejahtera Indonesia Jaya! @smilecuztawan #KitaAdalahTiga #BanggaBersamaGPMMD https://t.co/vkBkDfnfF6;1.0;Program Keluarga Harapan (PKH)
1,75591E+18;Thu May 09 07:41:11 +0000 2024;Ganjar - Mahfud adalah harapan baru bagi keluarga miskin yang bermimpi memiliki sarjana melalui program 1 Keluarga Miskin 1 Sarjana . Ganjar Pranowo terbukti lebih baik @syabilur #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/zQi9v9Hm4a;1.0;Program Keluarga Harapan (PKH)
1,75591E+18;Thu May 09 02:27:16 +0000 2024;PosIND melakukan penyaluran bantuan sosial (Bansos) sembako dan Program Keluarga Harapan (PKH) kepada ribuan Keluarga Penerima Manfaat (KPM) di Semarang Jawa Tengah. #PosIndonesia #PosIND @PosIndonesia https://t.co/Ag2mdTYAhr;1.0;Program Keluarga Harapan (PKH)
1,75311E+18;Wed May 08 03:40:27 +0000 2024;program GKMNU sangat positif utk mewujudkan harapan menjadi keluarga yg sehat dan harmonis jadiiiiiiiii tau kan sekarang kalo GKMNU tak hanya bermanfaat utk organisasi tapi juga kepada masyarakat hingga lapis bawah https://t.co/lcjADt5PCW;1.0;
1,78484E+18;Tue May 07 02:10:38 +0000 2024;Penyaluran bansos yang masih berjalan dilakukan oleh @PosIndonesia adalah bansos sembako dan Program Keluarga Harapan (PKH) #PosIND #PosIndonesia https://t.co/y4WPb2ArqB;1.0;Program Keluarga Harapan (PKH)
1,79032E+18;Mon May 06 04:48:27 +0000 2024;Penyaluran oleh posind bansos masih berjalan termasuk bansos sembako dan Program Keluarga Harapan (PKH). @PosIndonesia #PosIndonesia #PosIND https://t.co/2vxxyOLFjl;1.0;
1,75222E+18;Mon May 06 01:02:17 +0000 2024;Program 1 keluarga miskin 1 sarjana bikin harapan besar buat anak-anak Indonesia Sukses Ganjarr . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @heolmarklee #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/qLJ0Fc0wYc;1.0;Program Keluarga Harapan (PKH)
1,75434E+18;Sun May 05 14:56:17 +0000 2024;Program Keluarga Harapan Kabupaten Klaten Menyasar 57.708 KPM https://t.co/aOMnEIFSmn;1.0;Program Keluarga Harapan (PKH)
1,77643E+18;Sun May 05 12:04:38 +0000 2024;@Nuckclear @PartaiSocmed PAN PAN PAN program keluarga Harapan;0.0;Program Keluarga Harapan (PKH)
1,75509E+18;Fri May 03 01:58:38 +0000 2024;Ternyata orang ini tidak secerdas Namanya... Kasihan partai Golkar https://t.co/iQ0qKqH2Il Airlangga mengatakan hanya capres nomor urut 2 Prabowo Subianto yang bisa melanjutkan program Bantuan Langsung Tunai (BLT) dan Program Keluarga Harapan (PKH).;0.0;Program Keluarga Harapan (PKH)
1,75591E+18;Thu May 02 07:54:55 +0000 2024;Info Program Keluarga Harapan: Update DTKS untuk PKH 2024 Masih Ada namamu? Cek Disini! https://t.co/csSlMMERFK;0.0;Program Keluarga Harapan (PKH)
1,75221E+18;Thu May 02 03:47:39 +0000 2024;Ganjar - Mahfud menunjukkan kepedulian yang luar biasa dengan meluncurkan program 1 Keluarga Miskin 1 Sarjana memberikan harapan baru bagi generasi Papua yang cerdas. @rrrrr_yr #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/1uBr7TStoT;1.0;Program Keluarga Harapan (PKH)
1,75702E+18;Tue Apr 30 23:18:28 +0000 2024;Program KJS Ganjar-Mahfud jadi harapan baru untuk kesejahteraan sosial keluarga kita . Ganjar Pranowo hanya yang terbaik untuk rakyat @RahmattullahHa1 #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/0e72Az6Abb;1.0;Program Keluarga Harapan (PKH)
1,77682E+18;Tue Apr 30 14:29:41 +0000 2024;Penyaluran bansos yang masih berjalan adalah bansos sembako dan Program Keluarga Harapan (PKH). Dalam menyukseskan penyaluran bansos hingga tercapai target 100%. @PosIndonesia #PosIndonesia #PosIND https://t.co/aMTxeikRCD;1.0;Program Keluarga Harapan (PKH)
1,77682E+18;Tue Apr 30 04:14:02 +0000 2024;Pak Ganjar - Mas Mahfud adalah harapan baru bagi kemajuan pendidikan dengan program 1 Keluarga Miskin 1 Sarjana . Kesejahteraan berkali lipat Indonesia Hebat ! @SofianaIsti #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/p2e31X2d1L;0.0;Program Keluarga Harapan (PKH)
1,75505E+18;Tue Apr 30 02:37:35 +0000 2024;program GKMNU sangat tepat berada di tengah masyarakat indonesia dukung terus yukk program GKMNU utk mewujudkan harapan masyarakat menjadi keluarga maslahat https://t.co/E3qJhI90yV;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Mon Apr 29 17:07:47 +0000 2024;Ganjar - Mahfud membangun harapan baru untuk keluarga miskin dengan program revolusioner ini . Ganjar Pranowo terbukti lebih baik @slmjmyy #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/5t60ABbeIM;1.0;Program Keluarga Harapan (PKH)
1,7522E+18;Mon Apr 29 10:54:16 +0000 2024;PT Pos Indonesia (Persero) menjaga komitmen menjalani amanah pemerintah dalam melakukan penyaluran dana bantuan sosial (bansos) Program Keluarga Harapan (PKH) dan sembako. #PosIND #PosIndonesia @PosIndonesia https://t.co/HcRXfDyY64;1.0;Program Keluarga Harapan (PKH)
1,75229E+18;Mon Apr 29 10:36:09 +0000 2024;Sebanyak 11 Ribu Keluarga di Kota Pekalongan Menerima Bansos Program Keluarga Harapan Sekitar 11 ribu keluarga penerima manfaat (KPM) diÂ Kota Pekalongan Jawa Tengah mendapatkan bantuan sosial #bansos #tvOnenews Selengkapnya: https://t.co/2O3H5lxjt8 https://t.co/2O3H5lxjt8;1.0;Program Keluarga Harapan (PKH)
1,78942E+18;Mon Apr 29 10:27:55 +0000 2024;Rapat ini diikuti oleh Ketua Sekretaris dan Bendahara Pokmas Kecamatan Bojongsoang Pendamping PKH (Program Keluarga Harapan) Juru Masak dan Kurir. Serta dihadiri oleh Camat Bojongsoang Sekcam Bojongsoang Kabag Umpeg dan Kanit Satpol PP Kecamatan Bojongsoang. https://t.co/2pOv85xznY;1.0;Program Keluarga Harapan (PKH)
1,77685E+18;Mon Apr 29 10:26:50 +0000 2024;Program 'SMK Gratis Lulus Langsung Kerja' memberi harapan baru bagi siswa dari keluarga kurang mampu. Ganjar Pranowo terbukti lebih baik @ZulfanNor #GanjarPresidenRakyat #GanjarMahfud2024 #Coblos3 https://t.co/8jeAFuicc5;1.0;Program Keluarga Harapan (PKH)
1,7524E+18;Mon Apr 29 10:04:20 +0000 2024;Penyaluran bansos yang masih berjalan hingga saat ini ialah bansos sembako dan Program Keluarga Harapan (PKH). #PosIndonesia #PosIND @PosIndonesia https://t.co/Oolu3fyWyl;1.0;Program Keluarga Harapan (PKH)
1,75776E+18;Mon Apr 29 09:47:51 +0000 2024;Pak Ganjar dan Prof. Mahfud menciptakan iklim kemenangan dengan program 1 keluarga miskin 1 sarjana yang memberi harapan baru bagi rakyat! @relatedbois #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/UKCuDlEqxG;1.0;Program Keluarga Harapan (PKH)
1,78377E+18;Mon Apr 29 09:07:41 +0000 2024;Program beasiswa 1 Keluarga Miskin 1 Sarjana menciptakan harapan baru bagi generasi muda sesuai dengan visi Ganjar-Mahfud untuk Indonesia yang maju . Tiga Kali Lebih Sejahtera Untuk Indonesia Hebat! @tahananrumah98 #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/WVJedcJI4O;1.0;Program Keluarga Harapan (PKH)
1,79035E+18;Mon Apr 29 08:25:30 +0000 2024;PTÂ Pos IndonesiaÂ (Persero) menjaga komitmen menjalani amanah pemerintah dalam melakukan penyaluran dana bantuan sosial (bansos) Program Keluarga Harapan (PKH) dan sembako. @PosIndonesia #PosIndonesia #PosIND https://t.co/Gsph6x025v;1.0;Program Keluarga Harapan (PKH)
1,79027E+18;Mon Apr 29 08:23:41 +0000 2024;Masyarakat Papua menyaksikan kehadiran Ganjar Pranowo dan Mahfud MD sebagai agen perubahan yang membawa harapan lewat program 1 keluarga miskin 1 sarjana. @s_simbonge #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/rCmFiVe6oe;1.0;Program Keluarga Harapan (PKH)
1,7559E+18;Mon Apr 29 07:16:18 +0000 2024;Sebanyak 2500 Keluarga Penerima Manfaat di Semarang Jawa Tengah menerima bantuan sosial (Bansos) berupa sembako dan Program Keluarga Harapan (PKH) yang disalurkan melalui @PosIndonesia. #PosIndonesia #PosIND https://t.co/NYAfU0EjzZ;1.0;Program Keluarga Harapan (PKH)
1,79021E+18;Mon Apr 29 07:15:06 +0000 2024;@MukarromahNur78 @AnakLolina2 Kategori penerima bansos pangan Mereka adalah penerima Program Keluarga Harapan (PKH) penerima Bantuan Pangan Non Tunai (BPNT) penerima PKH dan BPNT serta Keluarga Penerima Manfaat (KPM) balita atau yang berisiko stunting. Ga;1.0;Program Keluarga Harapan (PKH)
